
🐯虎牙直播,#genre#
张大仙,https://live.52sf.ga/huya/688
王者荣耀赛事,https://live.52sf.ga/huya/kpl
英雄联盟赛事,https://live.52sf.ga/huya/lpl
暴雪频道,https://live.52sf.ga/huya/blizzardgame1
ESLCSGO,https://live.52sf.ga/huya/eslcsgo

🐷直播,#genre#
罗翔法考,https://live.52sf.ga/douyu/8805#https://liveb.52sf.ga/douyu/8805
芒果TV直播,http://112.17.40.217/PLTV/88888888/224/3221231279/index.m3u8#http://112.17.40.217/PLTV/88888888/224/3221231279/index.m3u8
唐人街探案3,https://cdn.zoubuting.com/20210625/YAsZuFuS/1200kb/hls/index.m3u8
华数 ,http://hls-ott-zhibo.wasu.tv/live/442/index.m3u8
李子柒,http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8
连续剧,http://hls-ott-zhibo.wasu.tv/live/442/index.m3u8
非遗美食,http://hls-ott-zhibo.wasu.tv/live/181/index.m3u8
英雄联盟,http://hls-ott-zhibo.wasu.tv/live/461/index.m3u8
华数高清,http://125.210.152.19:9090/live/hzgq-hsfwgq-h264.m3u8

👍4K,#genre#
4K测试,http://111.20.33.93/TVOD/88888893/224/3221226352/index.m3u8
4K电影,http://cache.ott.fifalive.itv.cmvideo.cn:80/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=no
4K影院,http://epg.112114.xyz/douyu/9249162
4K连续剧,http://hls-ott-zhibo.wasu.tv/live/442/index.m3u8
4K华数电影,http://111.40.196.28/0000000000001000/1.m3u8?Contentid=6000000003000004748&livemode=1&stbId=1213&channel-id=wasusyt
爱上4K,http://111.20.33.93/PLTV/88888893/224/3221226352/index.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
纯享4K,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8 
纯享4K,http://39.135.138.58:18890/PLTV/88888888/224/3221225786/index.m3u8
纯享4k,http://39.135.32.10:6610/000000001000/HD-20M-2160P-chunxiang4k/1.m3u8?IASHttpSessionId=OTT
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
李子柒4K,http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8
欢笑剧场4K,http://111.20.33.93/PLTV/88888893/224/3221226582/index.m3u8
欢笑剧场4K,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
南国都市4K,http://ye23.win/iptv/gztv.php?id=shenghuo
CCTV4K-HD,https://p.ggiptv.com/v/4k.m3u8
CCTV4K-HD,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV8K-8K超高清,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/index.m3u8
CCTV8K-8K超高清,http://117.148.179.148/PLTV/88888888/224/3221233350/1.m3u8
CCTV8K-8K超高清,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233454/index.m3u8
CCTV16-奥林匹克4K,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd
4K超高清,http://open.live-web.timetv.cn/live03/cctv4k.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
欢笑剧场4k,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8





广东,#genre#
广东,http://39.135.32.24:6610/000000001000/1000000001000028357/1.m3u8?xtkg?zguangd
南方卫视,http://39.135.32.24:6610/000000001000/1000000002000011619/1.m3u8?xtkg?zguangd
广东珠江,http://39.135.32.24:6610/000000001000/1000000004000011655/1.m3u8?xtkg?zguangd
广东珠江,http://39.135.32.6:6610/PLTV/77777777/224/3221225717/index.m3u8?servicetype=1&IASHttpSessionId=OTT
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zguangd
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1617289309-0-0-7b2730980c8860963374597c20ad3935?zguangd
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1612881417-0-0-bc7ddba066481bc805fc1e800654e721?zguangd
生活HD,http://hls-ott-zhibo.wasu.tv/live/452/index.m3u8?zguangd
广州法制,http://ye23.win/iptv/gztv.php?id=fazhi?zguangd
广州竞赛,http://ye23.win/iptv/gztv.php?id=jingsai?zguangd
南国都市,http://ye23.win/iptv/gztv.php?id=shenghuo?zguangd
深圳东部,https://lglivepull.sznews.com/live/2646.m3u8?zguangd
汕头综合,http://dslive.grtn.cn/stzh/sd/live.m3u8?zguangd 
汕头综合,http://dslive.grtn.cn/stzh/sd/live.m3u8?_upt=61db0df01642739502?zguangd
揭阳综合,http://dslive.grtn.cn/jyzh/sd/live.m3u8?zguangd
珠海综合,http://dslive.grtn.cn/zhzh/sd/live.m3u8?zguangd

广东|广东珠江,http://183.11.239.32:808/hls/12/index.m3u8
广东|广东体育,http://183.11.239.32:808/hls/109/index.m3u8
广东|广东新闻,http://183.11.239.32:808/hls/2/index.m3u8
广东|广东影视,http://183.11.239.32:808/hls/8/index.m3u8
广东|广东公共,http://183.11.239.32:808/hls/3/index.m3u8
广东|岭南戏曲,http://183.11.239.32:808/hls/6/index.m3u8
广东|嘉佳卡通,http://39.135.138.58:18890/PLTV/88888888/224/3221226193/index.m3u8
广东|嘉佳卡通,http://140.207.241.3:8080/live/program/live/jjkt/1300000/d1.m3u8
广东|广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1617289309-0-0-7b2730980c8860963374597c20ad3935
广东|深圳公共频道,http://183.11.239.32:808/hls/107/index.m3u8
广东|深圳财经生活,http://183.11.239.32:808/hls/103/index.m3u8
广东|深圳少儿频道,http://183.11.239.32:808/hls/106/index.m3u8
广东|深圳龙岗,https://lglivepull.sznews.com/live/2647.m3u8
广东|深圳东部,https://lglivepull.sznews.com/live/2646.m3u8
广东|深圳众创TV,https://lglivepull.sznews.com/live/2645.m3u8
广东|河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
广东|河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
广东|清远综合,https://zqy-live.nanyuecloud.com/qingyuandianshi1/qingyuandianshistream1.m3u8?auth_key=601634549293-0-0-96c65af4438160da817d5e34b27b9b7a
